1 1 -0.214472
1 4 0.115182
1 8 0.023575
1 9 -0.007048
1 10 -0.341975
2 2 -0.513360
2 4 -0.029020
2 9 -0.474274
3 1 0.052166
3 3 0.724881
3 4 -0.091106
3 5 -0.031879
3 6 0.351952
3 7 0.216620
3 8 0.207339
3 9 0.005575
4 1 0.050525
4 4 -0.311545
4 5 -0.030876
4 6 -0.534890
4 7 0.209804
5 1 0.459742
5 5 -0.253678
5 7 -0.152060
6 3 1.000000
6 6 1.020000
7 4 0.523997
7 7 0.687841
7 8 0.107249
7 9 -0.032062
7 10 0.075171
8 2 0.300000
8 8 0.306000
9 1 0.035838
9 4 0.132615
9 5 -0.021900
9 6 0.241790
9 7 0.148817
9 8 -0.301805
9 9 0.223670
10 1 0.275038
10 5 0.450072
10 10 0.739612
